Indicator ,Surevy Flow ,Answer,Answer types - Option avalible
,"Welcome to The BIG GREEN Legacy Pulse! 

You are invited to answer questions about your views on climate education. 

Together we are creating a legacy that will change education for everyone and bring us closer to the vision of 'We the UAE 2031",,
,,,
,What is the name of your school or university?,(Here you would write the name of your school or university),Drop Down List 
Experience of CC Ed ,How important is the issue of climate change to you personally?,Very important,Range
,,Important,
,,Moderately important,
,,Slightly important,
,,Not important,
Experience of CC Ed ,How do you learn about climate change or the environment?,In classes at school or university,Select all that apply (list)
,,In school assemblies or university events,
,,In clubs at my school or university,
,,Outside of school or university activities,
,,On social media,
,,From outdoor activities,
,,I am not learning about climate change,
Experience of CC Ed ,How well is your school or university preparing you to take action on climate and environmental issues?,"On a scale of 1 - 10
 (1 being not at all - 10 being very much so)",NPS
Experience of Cc Ed ,What climate change or environmental topics are covered in your classes? Please select all that apply.,The causes of climate change.,Select all that apply (Grid)
,,The impact of climate change on nature.,
,,How climate change impacts everyone differently,
,,How to adapt to climate change.,
,,How to reduce energy use.,
,,How to live a sustainable life.,
,,I am not learning about any of these topics.,
Demographic ,Are you a UAE national?,"Yes
No",Select one
Urgency ,How worried are you about climate change?,Not at all worried,Range
,,Not very worried,
,,Somewhat worried,
,,Very worried,
Motivaiton For Action ,How interested are you in a job or training about climate change and the environment?,Very interested,Rating
,,Interested,
,,A little interested,
,,Not interested,
,,I don't know,
Knowledge and Understanding ,Which topic would you like to learn more about? Choose one.,The causes of climate change.,Select one (list)
,,The impact of climate change on nature.,
,,How climate change impacts everyone differently,
,,How to adapt to climate change.,
,,How to reduce energy use.,
,,How to live a sustainable life.,
,Which location do you study in?,"Abu Dhabi (Abu Dhabi)
Abu Dhabi (Al Ain)
Abu Dhabi (Al Dhafra)
Dubai
Sharjah
Sharjah East
Khor Fakkan
Ajman
Umm Al Quwain
Ras Al Khaimah
Fujairah
This doesn’t apply to me",Drop Down List 
Socio Emptional Well being ,"Where do you prefer to do the following activities?
 
 inside / outside",Being with friends,Select 3 or Tap
,,Studying,
,,Exercise and playing sports,
Socia Emotonal Well being ,How hopeful are you that people can live with the impact of climate change?,Very hopeful,NPS
,,Not hopeful,
,,Somewhat hopeful,
,,Hopeful,
Urgency ,How much do you think climate change will impact you personally?,Not at all,Range
,,Only a little,
,,A moderate amount,
,,A great deal,
,,I don't know,
Knowledge and Understanding ,Do you feel confident that you can....,understand and use data about climate change and the environment.,Tap
,,make sustainable choices.,
,,convince others to take action.,
,,think of new solutions for climate change.,
,,use past solutions to protect the environment.,
,,respond to climate emergencies.,
,,find resources to increase your knowledge.,
,, use apps or online tools as part of your climate action,
Demographic ,What type of school do you go to?,"Public School
Private School
Applied Technology School
Homeschooled
University/College 
Other ",Select one
Motivation for Action ,When I think about what I have learnt in school or university...,I want to take action for the environment.,Tap
,,I know what I can do to help protect the environment.,
,,I believe the world has the solutions for climate change.,
,,I think climate change impacts everyone in my country equally.,
,,I worry we won't do enough to stop climate change.,
,,I worry about people who are impacted by climate change.,
Motivation for Action ,How often do you take part in activities to protect the environment?,Every day,Range
,,Once a week,
,,Once a month,
,,A few times a year,
,,There are no activities available to me,
,,I'm not interested in taking part,
Urgency ,How much do you think climate change will impact future generations of people?,Not at all,Rating
,,Only a little,
,,A moderate amount,
,,A great deal,
,,I don’t know,
Motivation for action ,What actions would you like to take for climate change and the environment where you live?,Open text box,Freeform 
Select one,Please select your age:,"Under 12
12 
13 
14 
15 
16
17
18
19 
20
21
22
22+",Select one
Range,What is your gender?,"Male
Female",Range
Static page,Thank you for coming with us. Together we are creating a legacy that will change education for everyone and bring us closer to the vision of 'We the UAE 2031'.,,Static page
